file,datetime,anomaly_score,species
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_05_51_33.wav,2025-08-10 05:51:33,-0.06543992154047146,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_05_51_33.wav,2025-08-10 05:51:33,-0.06543992154047146,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_05_53_07.750000.wav,2025-08-10 05:53:07,-0.04209692379593721,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_05_53_07.750000.wav,2025-08-10 05:53:07,-0.04209692379593721,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_01_53.750000.wav,2025-08-10 06:01:53,-0.08608334500041587,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_01_53.750000.wav,2025-08-10 06:01:53,-0.08608334500041587,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_41.250000.wav,2025-08-10 06:02:41,-0.09827353311437309,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_41.250000.wav,2025-08-10 06:02:41,-0.09827353311437309,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_51.500000.wav,2025-08-10 06:02:51,-0.07088780384070459,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_51.500000.wav,2025-08-10 06:02:51,-0.07088780384070459,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_56.500000.wav,2025-08-10 06:02:56,-0.04640759212625095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_02_56.500000.wav,2025-08-10 06:02:56,-0.04640759212625095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_27.250000.wav,2025-08-10 06:03:27,-0.06124249523838288,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_27.250000.wav,2025-08-10 06:03:27,-0.06124249523838288,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_37.750000.wav,2025-08-10 06:03:37,0.01604738084539231,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_37.750000.wav,2025-08-10 06:03:37,0.01604738084539231,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_59.250000.wav,2025-08-10 06:03:59,-0.08996480405350643,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\111\er_file_2025_08_10_06_03_59.250000.wav,2025-08-10 06:03:59,-0.08996480405350643,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_02.500000.wav,2025-08-10 06:08:02,-0.07214754820228952,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_02.500000.wav,2025-08-10 06:08:02,-0.07214754820228952,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_06.500000.wav,2025-08-10 06:08:06,-0.034897807206587916,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_06.500000.wav,2025-08-10 06:08:06,-0.034897807206587916,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_16.750000.wav,2025-08-10 06:08:16,-0.08797274483424766,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_16.750000.wav,2025-08-10 06:08:16,-0.08797274483424766,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_53.500000.wav,2025-08-10 06:08:53,-0.05330047490669487,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_08_53.500000.wav,2025-08-10 06:08:53,-0.05330047490669487,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_32.500000.wav,2025-08-10 06:09:32,-0.03074971858955594,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_32.500000.wav,2025-08-10 06:09:32,-0.03074971858955594,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_40.250000.wav,2025-08-10 06:09:40,-0.05030968626763965,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_40.250000.wav,2025-08-10 06:09:40,-0.05030968626763965,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_46.250000.wav,2025-08-10 06:09:46,-0.03994879709553195,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_09_46.250000.wav,2025-08-10 06:09:46,-0.03994879709553195,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_11_16.wav,2025-08-10 06:11:16,-0.053188802708903526,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_11_16.wav,2025-08-10 06:11:16,-0.053188802708903526,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_12_56.wav,2025-08-10 06:12:56,-0.06637406063650719,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_12_56.wav,2025-08-10 06:12:56,-0.06637406063650719,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_13_05.250000.wav,2025-08-10 06:13:05,-0.0735636302422008,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_13_05.250000.wav,2025-08-10 06:13:05,-0.0735636302422008,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_13_32.750000.wav,2025-08-10 06:13:32,-0.061411116429985146,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\112\er_file_2025_08_10_06_13_32.750000.wav,2025-08-10 06:13:32,-0.061411116429985146,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_19_29.wav,2025-08-10 06:19:29,-0.026234076709174825,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_19_29.wav,2025-08-10 06:19:29,-0.026234076709174825,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_01.250000.wav,2025-08-10 06:20:01,-0.01757506075573001,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_01.250000.wav,2025-08-10 06:20:01,-0.01757506075573001,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_36.250000.wav,2025-08-10 06:20:36,-0.03472552115734967,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_36.250000.wav,2025-08-10 06:20:36,-0.03472552115734967,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_55.500000.wav,2025-08-10 06:20:55,-0.06547118568401927,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_55.500000.wav,2025-08-10 06:20:55,-0.06547118568401927,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_59.250000.wav,2025-08-10 06:20:59,-0.06606706050600974,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_20_59.250000.wav,2025-08-10 06:20:59,-0.06606706050600974,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_07.wav,2025-08-10 06:21:07,-0.008624463654248737,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_07.wav,2025-08-10 06:21:07,-0.008624463654248737,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\113\er_file_2025_08_10_06_21_10.250000.wav,2025-08-10 06:21:10,-0.06711204116516295,ploceus melanocephalus
